"Actual state (0 - normal, 1 - faulty)",Actual classification,Actual classification MA,Actual faulty pair,Localised fault pair,FP,TP,Prediction type (0 - 9),First_TP_minute,Time to failure,True TPR,FPR,Localisation Rate
0,NA,1,NA,NA,1,0,1,0,1,0,,
0,NA,1,NA,NA,1,0,1,0,1,0,,
0,NA,1,NA,NA,1,0,1,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,1,0,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,1,0,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
0,NA,0,NA,NA,0,0,0,0,1,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,0,1,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,0,NA,NA,0,0,2,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,0,NA,NA,0,0,6,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,0,NA,NA,0,0,6,1,0,0,,
1,NA,0,NA,NA,0,0,6,1,0,0,,
1,NA,0,NA,NA,0,0,6,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,9,1,0,0,,
1,NA,1,NA,NA,0,1,8,0,1,0,,
1,NA,1,NA,NA,0,1,8,0,1,0,,
1,NA,1,NA,NA,0,1,8,0,1,0,,
1,NA,1,NA,NA,0,1,8,0,1,0,,
1,NA,1,NA,NA,0,1,8,0,1,0,,
,,,,,,,,74,31,87,18,"[0.15, 0.03, 0.47, 0.0, 0.0, 0.0, 0.04, 0.0, 0.06, 0.25]"
